Driver,Compound,TyreLife,FuelLoad,LapTimeSeconds
VER,SOFT,4.0,108.4,97.284
VER,SOFT,5.0,106.8,96.296
VER,SOFT,6.0,105.2,96.753
VER,SOFT,7.0,103.6,96.647
VER,SOFT,8.0,102.0,97.173
VER,SOFT,9.0,100.4,97.092
VER,SOFT,10.0,98.8,97.038
VER,SOFT,11.0,97.2,97.024
VER,SOFT,12.0,95.6,97.229
VER,SOFT,13.0,94.0,96.96
VER,SOFT,14.0,92.4,97.085
VER,SOFT,15.0,90.8,97.045
VER,SOFT,16.0,89.2,97.03
VER,SOFT,17.0,87.6,97.028
VER,SOFT,18.0,86.0,97.011
VER,SOFT,19.0,84.4,97.168
VER,SOFT,20.0,82.8,99.896
VER,HARD,2.0,79.6,95.283
VER,HARD,3.0,78.0,95.16
VER,HARD,4.0,76.4,95.316
VER,HARD,5.0,74.8,95.204
VER,HARD,6.0,73.19999999999999,95.216
VER,HARD,7.0,71.6,95.289
VER,HARD,8.0,70.0,95.342
VER,HARD,9.0,68.4,95.223
VER,HARD,10.0,66.8,95.581
VER,HARD,11.0,65.19999999999999,95.477
VER,HARD,12.0,63.6,95.793
VER,HARD,13.0,62.0,95.771
VER,HARD,14.0,60.4,95.679
VER,HARD,15.0,58.8,95.886
VER,HARD,16.0,57.2,95.863
VER,HARD,17.0,55.6,96.133
VER,HARD,18.0,54.0,96.018
VER,HARD,19.0,52.4,96.205
VER,HARD,20.0,50.8,99.234
VER,SOFT,2.0,47.6,92.608
VER,SOFT,3.0,46.0,96.589
VER,SOFT,4.0,44.39999999999999,95.29
VER,SOFT,5.0,42.8,94.667
VER,SOFT,6.0,41.2,94.151
VER,SOFT,7.0,39.6,94.531
VER,SOFT,8.0,38.0,94.249
VER,SOFT,9.0,36.39999999999999,94.193
VER,SOFT,10.0,34.8,94.239
VER,SOFT,11.0,33.19999999999999,94.35
VER,SOFT,12.0,31.599999999999994,94.403
VER,SOFT,13.0,30.0,94.783
VER,SOFT,14.0,28.39999999999999,94.34
VER,SOFT,15.0,26.8,94.906
VER,SOFT,16.0,25.19999999999999,95.6
VER,SOFT,17.0,23.599999999999994,95.334
VER,SOFT,18.0,22.0,95.184
VER,SOFT,19.0,20.39999999999999,94.671
VER,SOFT,20.0,18.8,94.923
PER,SOFT,4.0,108.4,100.053
PER,SOFT,5.0,106.8,96.541
PER,SOFT,6.0,105.2,97.297
PER,SOFT,7.0,103.6,97.722
PER,SOFT,8.0,102.0,98.044
PER,SOFT,9.0,100.4,97.823
PER,SOFT,10.0,98.8,97.821
PER,SOFT,11.0,97.2,97.838
PER,SOFT,12.0,95.6,97.596
PER,SOFT,13.0,94.0,97.63
PER,SOFT,14.0,92.4,97.836
PER,SOFT,15.0,90.8,100.277
