Driver,Compound,TyreLife,FuelLoad,LapDelta,Tire_Fuel_Interaction
SAR,HARD,5.0,86.0,4.567999999999998,0.05747126436781609
SAR,HARD,9.0,79.6,4.716000000000008,0.11166253101736974
SAR,HARD,10.0,78.0,4.793999999999997,0.12658227848101267
SAR,HARD,11.0,76.4,4.983000000000004,0.1421188630490956
SAR,HARD,12.0,74.8,4.701999999999998,0.158311345646438
SAR,HARD,13.0,73.19999999999999,4.594999999999999,0.17520215633423183
SAR,HARD,16.0,68.4,4.832999999999998,0.23054755043227665
SAR,HARD,2.0,62.0,2.689000000000007,0.031746031746031744
SAR,HARD,3.0,60.4,3.6869999999999976,0.048859934853420196
SAR,HARD,4.0,58.8,3.537000000000006,0.06688963210702341
SAR,HARD,5.0,57.2,4.407000000000011,0.0859106529209622
SAR,HARD,6.0,55.6,3.448999999999998,0.10600706713780919
SAR,HARD,7.0,54.0,3.8329999999999984,0.12727272727272726
SAR,HARD,8.0,52.4,3.436000000000007,0.149812734082397
SAR,HARD,9.0,50.8,3.7590000000000003,0.17374517374517376
SAR,HARD,10.0,49.2,3.706000000000003,0.199203187250996
SAR,HARD,11.0,47.6,3.990000000000009,0.22633744855967078
SAR,SOFT,2.0,42.8,1.7090000000000032,0.04566210045662101
SAR,SOFT,3.0,41.2,1.9750000000000085,0.07109004739336493
SAR,SOFT,4.0,39.6,2.103999999999999,0.09852216748768472
SAR,SOFT,5.0,38.0,2.307000000000002,0.1282051282051282
SAR,SOFT,6.0,36.39999999999999,2.9129999999999967,0.16042780748663105
SAR,SOFT,7.0,34.8,3.703000000000003,0.19553072625698326
SAR,SOFT,8.0,33.19999999999999,2.662000000000006,0.23391812865497083
SAR,SOFT,9.0,31.599999999999994,2.564000000000007,0.2760736196319019
SAR,SOFT,10.0,30.0,2.6340000000000003,0.3225806451612903
SAR,SOFT,11.0,28.39999999999999,2.945999999999998,0.37414965986394566
SAR,SOFT,12.0,26.8,2.9609999999999985,0.4316546762589928
SAR,SOFT,13.0,25.19999999999999,3.0619999999999976,0.49618320610687044
SAR,SOFT,15.0,22.0,3.183000000000007,0.6521739130434783
SAR,MEDIUM,3.0,105.2,3.844999999999999,0.02824858757062147
SAR,MEDIUM,4.0,103.6,3.5180000000000007,0.03824091778202677
SAR,MEDIUM,5.0,102.0,3.1779999999999973,0.04854368932038835
SAR,MEDIUM,6.0,100.4,3.1770000000000067,0.05917159763313609
SAR,HARD,4.0,92.4,3.4420000000000073,0.042826552462526764
SAR,HARD,5.0,90.8,2.6159999999999997,0.054466230936819175
SAR,HARD,6.0,89.2,2.7250000000000085,0.06651884700665188
SAR,HARD,7.0,87.6,2.1809999999999974,0.07900677200902935
SAR,HARD,8.0,86.0,2.575000000000003,0.09195402298850575
SAR,HARD,9.0,84.4,3.0360000000000014,0.10538641686182669
SAR,HARD,10.0,82.8,3.3100000000000023,0.11933174224343676
SAR,HARD,11.0,81.2,3.0130000000000052,0.13381995133819952
SAR,HARD,12.0,79.6,2.335000000000008,0.14888337468982632
SAR,HARD,13.0,78.0,2.2250000000000085,0.16455696202531644
SAR,HARD,14.0,76.4,2.0559999999999974,0.1808785529715762
SAR,HARD,15.0,74.8,2.575000000000003,0.1978891820580475
SAR,HARD,16.0,73.19999999999999,1.990000000000009,0.21563342318059303
SAR,HARD,17.0,71.6,2.1069999999999993,0.23415977961432508
SAR,HARD,18.0,70.0,3.5130000000000052,0.2535211267605634
SAR,HARD,19.0,68.4,3.4710000000000036,0.2737752161383285
SAR,HARD,20.0,66.8,3.171999999999997,0.2949852507374631
SAR,HARD,21.0,65.19999999999999,2.8599999999999994,0.3172205438066466
SAR,HARD,22.0,63.6,3.021000000000001,0.3405572755417957
SAR,HARD,23.0,62.0,2.7240000000000038,0.36507936507936506
SAR,HARD,24.0,60.4,2.8530000000000086,0.39087947882736157
SAR,HARD,25.0,58.8,2.8710000000000093,0.4180602006688963
SAR,HARD,26.0,57.2,2.6740000000000066,0.4467353951890034
SAR,HARD,27.0,55.6,1.8170000000000073,0.47703180212014135
SAR,HARD,28.0,54.0,1.6899999999999977,0.509090909090909
SAR,HARD,29.0,52.4,1.5499999999999972,0.5430711610486891
SAR,HARD,30.0,50.8,1.2019999999999982,0.5791505791505792
SAR,HARD,31.0,49.2,0.737000000000009,0.6175298804780877
SAR,HARD,32.0,47.6,0.9440000000000026,0.6584362139917695
SAR,HARD,33.0,46.0,0.5210000000000008,0.7021276595744681
SAR,HARD,34.0,44.39999999999999,0.8119999999999976,0.7488986784140971
SAR,HARD,35.0,42.8,0.6219999999999999,0.7990867579908676
SAR,HARD,36.0,41.2,0.7400000000000091,0.8530805687203791
SAR,HARD,37.0,39.6,2.189000000000007,0.9113300492610837
SAR,HARD,38.0,38.0,1.051000000000002,0.9743589743589743
SAR,HARD,39.0,36.39999999999999,1.115000000000009,1.0427807486631018
SAR,HARD,40.0,34.8,0.6920000000000073,1.11731843575419
SAR,HARD,41.0,33.19999999999999,0.3569999999999993,1.1988304093567255
SAR,HARD,42.0,31.599999999999994,0.0,1.288343558282209
BEA,SOFT,3.0,105.2,3.3289999999999935,0.02824858757062147
BEA,SOFT,4.0,103.6,3.458999999999989,0.03824091778202677
BEA,SOFT,5.0,102.0,3.4069999999999965,0.04854368932038835
BEA,SOFT,6.0,100.4,3.935999999999993,0.05917159763313609
BEA,HARD,4.0,92.4,3.458999999999989,0.042826552462526764
BEA,HARD,5.0,90.8,2.7209999999999894,0.054466230936819175
BEA,HARD,6.0,89.2,2.9669999999999987,0.06651884700665188
BEA,HARD,7.0,87.6,3.292999999999992,0.07900677200902935
BEA,HARD,8.0,86.0,2.931999999999988,0.09195402298850575
BEA,HARD,9.0,84.4,2.5289999999999964,0.10538641686182669
BEA,HARD,10.0,82.8,2.4949999999999903,0.11933174224343676
BEA,HARD,11.0,81.2,3.083999999999989,0.13381995133819952
BEA,HARD,12.0,79.6,3.4299999999999926,0.14888337468982632
BEA,HARD,13.0,78.0,2.641999999999996,0.16455696202531644
BEA,HARD,14.0,76.4,2.181999999999988,0.1808785529715762
BEA,HARD,15.0,74.8,2.3729999999999905,0.1978891820580475
BEA,HARD,16.0,73.19999999999999,1.941999999999993,0.21563342318059303
BEA,HARD,17.0,71.6,1.779999999999987,0.23415977961432508
BEA,HARD,18.0,70.0,1.7379999999999995,0.2535211267605634
BEA,HARD,19.0,68.4,1.6019999999999897,0.2737752161383285
BEA,HARD,20.0,66.8,1.6219999999999999,0.2949852507374631
BEA,HARD,21.0,65.19999999999999,1.4529999999999887,0.3172205438066466
BEA,HARD,22.0,63.6,1.1929999999999978,0.3405572755417957
BEA,HARD,23.0,62.0,1.5849999999999937,0.36507936507936506
BEA,HARD,24.0,60.4,1.259999999999991,0.39087947882736157
BEA,HARD,25.0,58.8,0.8999999999999915,0.4180602006688963
BEA,HARD,26.0,57.2,1.3649999999999949,0.4467353951890034
BEA,HARD,27.0,55.6,1.0699999999999932,0.47703180212014135
BEA,HARD,28.0,54.0,1.0799999999999983,0.509090909090909
BEA,HARD,29.0,52.4,0.8669999999999902,0.5430711610486891
BEA,HARD,30.0,50.8,0.8659999999999997,0.5791505791505792
BEA,HARD,31.0,49.2,0.5219999999999914,0.6175298804780877
BEA,HARD,32.0,47.6,0.5699999999999932,0.6584362139917695
BEA,HARD,33.0,46.0,0.42099999999999227,0.7021276595744681
BEA,HARD,34.0,44.39999999999999,0.5049999999999955,0.7488986784140971
BEA,HARD,35.0,42.8,0.46999999999999886,0.7990867579908676
BEA,HARD,36.0,41.2,0.48599999999999,0.8530805687203791
BEA,HARD,37.0,39.6,0.13599999999999568,0.9113300492610837
BEA,HARD,38.0,38.0,0.4269999999999925,0.9743589743589743
BEA,HARD,39.0,36.39999999999999,0.5629999999999882,1.0427807486631018
BEA,HARD,40.0,34.8,0.39699999999999136,1.11731843575419
BEA,HARD,41.0,33.19999999999999,0.0759999999999934,1.1988304093567255
BEA,HARD,42.0,31.599999999999994,0.2979999999999876,1.288343558282209
BEA,HARD,43.0,30.0,0.0,1.3870967741935485
VER,MEDIUM,1.0,108.4,4.3430000000000035,0.009140767824497258
VER,MEDIUM,2.0,106.8,0.9840000000000089,0.01855287569573284
VER,MEDIUM,3.0,105.2,0.0,0.02824858757062147
GAS,MEDIUM,2.0,106.8,3.5589999999999975,0.01855287569573284
GAS,MEDIUM,3.0,105.2,2.7609999999999957,0.02824858757062147
GAS,MEDIUM,4.0,103.6,2.6099999999999994,0.03824091778202677
GAS,MEDIUM,5.0,102.0,3.435999999999993,0.04854368932038835
GAS,MEDIUM,6.0,100.4,2.8220000000000027,0.05917159763313609
GAS,MEDIUM,7.0,98.8,2.3549999999999898,0.07014028056112225
GAS,MEDIUM,8.0,97.2,2.7890000000000015,0.0814663951120163
GAS,MEDIUM,9.0,95.6,2.73899999999999,0.09316770186335405
GAS,MEDIUM,10.0,94.0,2.765999999999991,0.10526315789473684
GAS,MEDIUM,11.0,92.4,4.307000000000002,0.1177730192719486
GAS,MEDIUM,12.0,90.8,3.5349999999999966,0.13071895424836602
GAS,MEDIUM,13.0,89.2,2.959000000000003,0.1441241685144124
GAS,MEDIUM,14.0,87.6,3.013999999999996,0.1580135440180587
GAS,MEDIUM,15.0,86.0,3.009999999999991,0.1724137931034483
GAS,MEDIUM,16.0,84.4,4.277000000000001,0.18735362997658078
